country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,onlyglobal,onlyglobal_kappa1972,trade_barriers,diversification,specialization
Australia,0.0010598351240085012,0.001089237213646316,0.0010107863192550237,0.0010269898861385407,5.0e-324,0.0,-2.6993284171212526,-1.4876068023120574,-1.211721614809195
Austria,0.00038638730691479726,0.0006025340566046224,0.00040125993016786813,0.0009442748886918216,5.0e-323,0.0,-35.872951465656115,-90.12186988797465,54.248918422318546
Belgium and Luxembourg,0.00048790039567097676,0.0016469707291823592,0.0005109227939735603,0.002275808878683131,2.1851408983e-314,0.0,-70.3758915063903,-107.15952951912816,36.78363801273785
Canada,0.0003258352500544822,0.001109916843732658,0.00044231694182646214,0.0016963702516796595,2.1851409615e-314,0.0,-70.64327369258619,-112.98624008946538,42.342966396879184
China,0.008244646812701028,0.008029702667836274,0.009299842912905667,0.009198066750514195,5.4e-323,0.0,2.676863064005255,1.2674960282046974,1.4093670358005574
Colombia,0.0009981210378085979,0.001400297100577875,0.0017457307527529455,0.002406571420324546,5.4e-323,0.0,-28.72076665754053,-47.19288980166314,18.472123144122623
Denmark,0.00039637300763224184,0.0016114576893591376,0.0004536782931064058,0.0006260134593843931,2.185140993e-314,0.0,-75.40282874011568,-10.694364947709142,-64.70846379240653
Finland,0.0005044914898465936,0.0007428068757705518,0.0005891867715382333,0.0009917478783155417,2.1851410247e-314,0.0,-32.08308830969577,-54.194585417604145,22.111497107908377
France,0.00020881582030714415,0.0002872738920621764,0.00022948956374359072,0.0001682162498646698,6.0e-323,0.0,-27.311243354495687,21.329231639908006,-48.64047499440368
Germany,0.00022117943794391738,0.00038854549477967184,0.0002816315061816127,0.00040207093177392975,6.4e-323,0.0,-43.07502186601362,-30.997509226200986,-12.077512639812628
Greece,0.0004669014406118919,0.0006120336082451779,0.0004293604727599937,0.00043364164260276144,2.1851410564e-314,0.0,-23.713104260631823,-0.699499142709289,-23.013605117922538
India,0.001315466620767958,0.0014410392562439023,0.0011455543584706876,0.001218641976260311,2.185141088e-314,0.0,-8.714032940591212,-5.071868616551622,-3.642164324039589
Ireland,0.0006655410487369494,0.0012869443733533156,0.0010351086800159583,0.0017307548015180788,7.0e-323,0.0,-48.285173585025426,-54.05409401569674,5.768920430671302
Italy,0.00022099186896193908,0.000298563005057456,0.000177233727864964,0.00012164114376883312,7.4e-323,0.0,-25.981496294421667,18.62005109622759,-44.60154739064927
Japan,0.00036387803148862506,0.00037577363983105704,0.0002576655958922598,0.00023482778363214434,2.1851411196e-314,0.0,-3.165631401867382,6.077545053554863,-9.243176455422246
Mexico,0.0009321441516746823,0.0018008117426225097,0.003165126698896611,0.004955792504739182,2.185141183e-314,0.0,-48.23755700764105,-99.43659092509232,51.19903391745126
Netherlands,0.00020966944261349062,0.0007807010493037512,0.00023980626694808437,0.001270072051791359,8.0e-323,0.0,-73.14344039879553,-131.9667478046932,58.82330740589765
Norway,0.000680315075059431,0.0008402018116625001,0.0011974624474339805,0.0018975285466611,8.0e-323,0.0,-19.02956341961493,-83.32118420952993,64.291620789915
Portugal,0.0016528635862444994,0.001562281193982399,0.0017088469074961622,0.002133348723071266,2.1851412145e-314,0.0,5.7980850445493495,-27.17192123992796,32.970006284477314
ROW,0.0017128284611559873,0.0017030997778385451,0.002424859983891098,0.002439198200373993,2.185141246e-314,0.0,0.5712339020905264,-0.8418893989342223,1.4131233010247486
South Korea,0.0009761929335316622,0.0009511133467424313,0.0007977524743405888,0.000778277935648543,8.4e-323,0.0,2.6368662447150655,2.0475518253156944,0.5893144193993711
Spain,0.00019106817211038865,0.0009070520106805985,0.0002407281468389056,0.0004979070074464795,2.08e-322,0.0,-78.93525731043557,-28.353265036544276,-50.58199227389129
Sweden,0.0002886284622556198,0.0004640870503692661,0.0003793424180215557,0.0004218938668201778,2.1851412777e-314,0.0,-37.80725792155521,-9.168850706944884,-28.63840721461033
United Kingdom,0.00028353295314389467,0.0005530162707311117,0.0002233483384853724,0.00030064466360132773,2.1851413093e-314,0.0,-48.72972674582401,-13.977224397713686,-34.752502348110326
United States,0.00037067071678650794,0.00037658724576334154,0.00039842476629465217,0.00037598943407132594,2.2008643675e-314,0.0,-1.5710911730005104,5.957539049908569,-7.528630222909079
