country_names,actual,kappa1972,nosectoral,nosectoral_kappa1972,onlyglobal,onlyglobal_kappa1972,trade_barriers,diversification,specialization
Australia,0.00106134833875875,0.0010885328879495374,0.0010089351571285676,0.0010265605860935475,0.0,2.2359729173e-314,-2.4973567167083766,-1.619191221514752,-0.8781654951936249
Austria,0.0004005955643948274,0.0006192176083510136,0.00040194532589365214,0.0009410147175743351,3.0e-323,2.235972949e-314,-35.30617363068538,-87.05653463509111,51.750361004405754
Belgium and Luxembourg,0.0004961237022409558,0.001680911229914503,0.0005113061159049634,0.0022748565799338757,0.0,2.2359729648e-314,-70.48483623574873,-104.91633541639273,34.431499180643996
Canada,0.00032766256913344534,0.0011088966041613948,0.00044249243752657514,0.0016968187194165427,4.0e-323,2.2359729806e-314,-70.45147690922539,-113.11480954877251,42.66333263954713
China,0.008227446976724052,0.008023269238511259,0.00929967970857177,0.009198462254818367,5.0e-323,2.2359729964e-314,2.544819725514765,1.2615487620378645,1.2832709634769008
Colombia,0.0010132316408494747,0.0013946652853745762,0.0017453447334674036,0.0024057081127896317,5.4e-323,2.235973012e-314,-27.34947578641831,-47.349237573147825,19.99976178672951
Denmark,0.0003882655519309018,0.0016350996268218669,0.000457119073438929,0.0006249823665552057,6.0e-323,2.235973028e-314,-76.2543183570061,-10.266242518968191,-65.9880758380379
Finland,0.0005164972463157161,0.0007418752026412873,0.0005890716581002482,0.0009907543511299133,6.4e-323,2.235973044e-314,-30.37949718809329,-54.144240378915505,23.764743190822216
France,0.0002088025141712177,0.0002875390527461174,0.00023126129091656313,0.00016821271527897382,7.0e-323,2.2359730596e-314,-27.382902538953587,21.926960889468482,-49.30986342842208
Germany,0.00022235394747105377,0.00038889837030309937,0.0002845709086131625,0.0004021327334242055,7.4e-323,2.2359730754e-314,-42.82466462953915,-30.229446505373044,-12.595218124166111
Greece,0.0004608626707963599,0.0006109347512641769,0.00042397046228160554,0.0004336793519340868,8.0e-323,2.235973091e-314,-24.564338525068397,-1.5891860190292262,-22.975152506039173
India,0.0012902351831532207,0.0014405198311939614,0.001141442252823618,0.0012192046074429518,8.0e-323,2.235973107e-314,-10.4326677624548,-5.398214792703074,-5.034452969751727
Ireland,0.0006680668154495934,0.0013027265572918016,0.0010377714883925706,0.0017306675202615075,9.0e-323,2.235973123e-314,-48.71780177427125,-53.18814051886508,4.470338744593826
Italy,0.0002214637385250868,0.0002978008735021161,0.00017815782237148983,0.0001216475427636381,9.0e-323,2.2359731387e-314,-25.63361687939672,18.975860931264258,-44.60947781066097
Japan,0.0003683793935191383,0.0003752380370143556,0.00025801429429359713,0.00023463125978238743,7.4e-323,2.2359731545e-314,-1.8278113673627774,6.231520316346589,-8.059331683709365
Mexico,0.0009268889499161611,0.0018072662050431921,0.003162272140989229,0.0049541154824389024,1.04e-322,2.2359731703e-314,-48.71320299523836,-99.14661915602247,50.43341616078408
Netherlands,0.00021065965784309828,0.000778789271580997,0.00024061422937904006,0.0012697418846902258,1.1e-322,2.235973186e-314,-72.95036468396074,-132.14455987843596,59.19419519447521
Norway,0.0006740132810342254,0.0008413767586615803,0.0011992812969003508,0.0018969841685697977,1.1e-322,2.235973202e-314,-19.89162119162743,-82.92395344736136,63.03233225573395
Portugal,0.0016131777012880885,0.0015553929652848836,0.00170139932580483,0.00212994878031962,1.1e-322,2.2359732177e-314,3.7151213418675315,-27.552487640079917,31.267608981947447
ROW,0.00173697596912724,0.0017037559790605652,0.00242233437829919,0.0024392961171512077,1.24e-322,2.2359732335e-314,1.949809155474953,-0.9955497771089321,2.945358932583898
South Korea,0.0009704451746655613,0.0009445601128538683,0.0007983501717280136,0.0007786291758941612,1.24e-322,2.235973265e-314,2.7404356228302524,2.087849737193321,0.6525858856369312
Spain,0.00018877530772768133,0.0009049368911756124,0.00024055160764443253,0.0004983979624792145,1.24e-322,2.235973281e-314,-79.13939529170466,-28.493296864028967,-50.64609842767569
Sweden,0.0002883512365280308,0.00046268812752607656,0.0003831456806777638,0.00042216314006723513,7.0e-323,2.235973297e-314,-37.67913646935329,-8.432777300358184,-29.246359168995095
United Kingdom,0.00028254966421672426,0.0005501556705085096,0.00022389419093630735,0.00030075607411810483,6.4e-323,2.2359733126e-314,-48.64187004460696,-13.970933556088578,-34.67093648851838
United States,0.0003705425592325554,0.0003767792956305459,0.0003993472676811239,0.0003760819154458662,1.5e-323,2.2359733284e-314,-1.6552757729304715,6.174795830095378,-7.830071603025849
